  visual                 Filtro de visualizador
  projectm               Efecto libprojectM
  goom                   Efecto Goom
  glspectrum             Visualización de espectro 3D OpenGL
  wall                   Filtro de vídeo de pared
  panoramix              Panoramix: pared con filtro de vídeo superpuesto
  clone                  Filtro de vídeo para clonar
  yuv                    Salida de vídeo YUV
  inhibit                Windows screen saver inhibition
  wingdi                 Salida de vídeo Windows GDI
  wgl                    Salida de vídeo OpenGL para OpenGL
  vmem                   Salida de memoria de vídeo
  vdummy                 Salida de vídeo simulada
  vdummy                 Estadísticas de salida de vídeo
  gl                     Salida de vídeo OpenGL
  glwin32                Salida de vídeo OpenGL para Windows
  glinterop_dxva2        DX OpenGL surface converter for D3D9
  flaschen               Flaschen-Taschen video output
  drawable               Ventana de vídeo embebida
  directdraw             Salida de vídeo DirectX (DirectDraw)
  direct3d9              Salida de vídeo Direct3D9
  direct3d11             Salida de vídeo Direct3D11
  caca                   Salida de vídeo ASCII-art Color
  wave                   Filtro de vídeo de ola
  vhs                    Filtro de vídeo de película VHS
  transform              Filtro de transformación de vídeo
  sharpen                Filtro de vídeo definido
  sepia                  Filtro de vídeo de sepia
  scene                  Filtro de vídeo de escena
  scale                  Filtro de escalado de vídeo
  rotate                 Rotar filtro de vídeo
  ripple                 Filtro de vídeo de onda
  puzzle                 Filtro de vídeo de juego rompecabezas interactivo
  psychedelic            Filtro de vídeo psicodélico
  postproc               Filtro post-proceso de vídeo
  posterize              Filtro de vídeo posterizar
  oldmovie               Filtro de vídeo de película vieja
  motiondetect           Filtro de vídeo para detección de movimiento
  motionblur             Filtro de movimiento borroso
  mirror                 Filtro de vídeo de espejo
  magnify                Filtro de vídeo interactivo magnificar/ampliar
  invert                 Invertir filtro de vídeo
  hqdn3d                 Filtro reductor de rudio de alta calidad 3D 
  grain                  Filtro de vídeo grano
  gradient               Filtro de vídeo gradiente
  gradfun                Filtro de vídeo Gradfun
  gaussianblur           Filtro de vídeo borroso Gausiano
  freeze                 Filtro de vídeo interactivo de congelado
  fps                    Filtro de conversión de vídeo FPS
  extract                Extraer filtro de componente RGB de vídeo
  erase                  Filtro de borrado de vídeo
  edgedetection          Filtro de vídeo para detección de borde
  deinterlace            Filtro de vídeo para desentrelazar
  croppadd               Filtro de recorte de vídeo
  colorthres             Filtro de umbral de color
  canvas                 Filtro de vídeo canvas
  bluescreen             Filtro de vídeo pantalla azul
  blend                  Mezclado de imágenes de vídeo
